Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-02-2023,Telangana,36,Ranga Reddy,518,991,587,753,135106,0,1597,1398,1590,1601,6776,52233,67531,10400,51140,1093,145449,2522,7472,7515,4628,29518,17418,9903,7365,11544,7,63,42504,39615
01-04-2023,Madhya Pradesh,23,Bhopal,396,375,474,255,147717,0,1830,887,1846,1872,2570,80479,65182,7590,80150,329,157745,2522,23937,10607,13820,55392,17635,7028,3791,5723,10,73,844,42
01-06-2023,Tamil Nadu,33,Erode,573,1497,1615,1568,122803,0,2080,1911,1732,2080,6981,47673,52966,8945,29819,17854,124018,0,5414,8134,5627,27947,16906,8772,7062,9336,15,58,43322,43129
01-07-2023,Kerala,32,Thrissur,566,1613,1810,1493,175063,0,3008,1684,3016,0,6913,94198,65894,246,52736,41462,184609,94,10039,7486,9393,27148,7716,230,7619,9985,23,115,16610,16254
01-06-2023,Arunachal Pradesh,12,Namsai,678,100,128,147,2906,0,281,90,320,320,230,3837,3032,514,3549,288,7698,12,1029,602,765,2862,1068,466,241,358,3,7,145,126
01-05-2023,Rajasthan,8,Rajsamand,112,134,218,369,74275,0,1137,820,1161,1167,3570,27052,37261,3963,26777,275,79648,1188,6981,3699,5865,20079,7233,3534,4965,6800,7,40,6284,6244
01-06-2023,Madhya Pradesh,23,Sehore,427,341,451,624,127010,0,1415,1376,1412,1415,5912,62489,52238,16968,59481,3008,137679,36,13115,11113,13015,53581,27451,16338,6451,10589,9,50,28483,7643
01-03-2023,Himachal Pradesh,2,Una,26,1234,1243,723,36377,0,1364,1328,1361,1364,3175,8617,18353,4282,6311,2306,36725,458,579,640,488,5907,4840,4200,3304,3276,5,59,22851,22531
01-02-2023,Uttarakhand,5,Nainital,51,167,178,77,66876,0,1020,509,1405,1416,3076,21265,38026,2168,20787,478,70520,147,897,370,411,1863,555,185,3660,4493,9,43,4,4
01-07-2023,Mizoram,15,Serchhip,268,120,150,154,6839,0,160,79,160,0,309,3249,2635,379,3211,38,7041,617,763,824,779,2736,1194,370,290,558,2,9,2576,2075
